,State,Year,ViolentAll
339,Colorado,1999,340.5
340,Colorado,2000,334.0
341,Colorado,2001,349.6
342,Colorado,2002,352.9
343,Colorado,2003,346.5
344,Colorado,2004,372.0
345,Colorado,2005,397.0
346,Colorado,2006,395.4
347,Colorado,2007,351.8
348,Colorado,2008,353.9
349,Colorado,2009,338.8
350,Colorado,2010,323.7
351,Colorado,2011,314.4
352,Colorado,2012,308.9
353,Colorado,2013,308.0
354,Colorado,2014,309.1
355,Colorado,2015,321.0
356,Colorado,2016,342.6
357,Colorado,2017,368.1
358,Colorado,2018,397.2
359,Colorado,2019,381.0
540,Florida,1960,223.4
541,Florida,1961,217.8
542,Florida,1962,192.1
543,Florida,1963,215.0
544,Florida,1964,289.9
545,Florida,1965,299.5
546,Florida,1966,337.8
547,Florida,1967,390.3
548,Florida,1968,453.1
549,Florida,1969,462.9
550,Florida,1970,498.2
551,Florida,1971,547.9
552,Florida,1972,554.5
553,Florida,1973,604.6
554,Florida,1974,677.6
555,Florida,1975,688.5
556,Florida,1976,648.3
557,Florida,1977,686.8
558,Florida,1978,765.6
559,Florida,1979,833.9
560,Florida,1980,983.5
561,Florida,1981,965.1
562,Florida,1982,896.8
563,Florida,1983,826.7
564,Florida,1984,868.0
565,Florida,1985,941.1
566,Florida,1986,1036.5
567,Florida,1987,1024.4
568,Florida,1988,1117.7
569,Florida,1989,1109.4
570,Florida,1990,1244.3
571,Florida,1991,1184.3
572,Florida,1992,1207.2
573,Florida,1993,1206.0
574,Florida,1994,1146.8
575,Florida,1995,1071.0
576,Florida,1996,1051.0
577,Florida,1997,1023.6
578,Florida,1998,938.7
579,Florida,1999,854.0
580,Florida,2000,812.0
581,Florida,2001,798.3
582,Florida,2002,771.2
583,Florida,2003,731.1
584,Florida,2004,711.8
585,Florida,2005,709.0
586,Florida,2006,716.4
587,Florida,2007,722.6
588,Florida,2008,688.9
589,Florida,2009,612.5
590,Florida,2010,541.3
591,Florida,2011,514.6
592,Florida,2012,487.1
593,Florida,2013,470.4
594,Florida,2014,540.5
595,Florida,2015,461.9
596,Florida,2016,430.3
597,Florida,2017,408.0
598,Florida,2018,384.9
599,Florida,2019,378.4
600,Georgia,1960,158.8
601,Georgia,1961,157.2
602,Georgia,1962,151.2
603,Georgia,1963,169.5
604,Georgia,1964,192.9
605,Georgia,1965,201.4
606,Georgia,1966,203.3
607,Georgia,1967,189.3
608,Georgia,1968,215.8
609,Georgia,1969,242.1
610,Georgia,1970,304.5
611,Georgia,1971,340.9
612,Georgia,1972,377.6
613,Georgia,1973,412.4
614,Georgia,1974,442.2
615,Georgia,1975,459.0
616,Georgia,1976,423.1
617,Georgia,1977,439.8
618,Georgia,1978,482.8
619,Georgia,1979,558.7
620,Georgia,1980,555.3
621,Georgia,1981,548.2
622,Georgia,1982,478.2
623,Georgia,1983,456.7
624,Georgia,1984,478.6
625,Georgia,1985,507.2
626,Georgia,1986,587.6
627,Georgia,1987,576.5
628,Georgia,1988,665.3
629,Georgia,1989,735.8
630,Georgia,1990,756.3
631,Georgia,1991,738.2
632,Georgia,1992,733.2
633,Georgia,1993,723.1
634,Georgia,1994,667.7
635,Georgia,1995,657.1
636,Georgia,1996,638.7
637,Georgia,1997,606.6
638,Georgia,1998,572.7
639,Georgia,1999,533.9
640,Georgia,2000,504.7
641,Georgia,2001,495.7
642,Georgia,2002,459.6
643,Georgia,2003,454.5
644,Georgia,2004,451.0
645,Georgia,2005,446.0
646,Georgia,2006,477.9
647,Georgia,2007,491.5
648,Georgia,2008,488.9
649,Georgia,2009,428.0
650,Georgia,2010,402.3
651,Georgia,2011,374.6
652,Georgia,2012,378.9
653,Georgia,2013,365.7
654,Georgia,2014,377.3
655,Georgia,2015,378.3
656,Georgia,2016,397.6
657,Georgia,2017,357.2
658,Georgia,2018,326.6
659,Georgia,2019,340.7
840,Indiana,1960,84.6
841,Indiana,1961,85.8
842,Indiana,1962,88.9
843,Indiana,1963,102.7
844,Indiana,1964,136.0
845,Indiana,1965,137.1
846,Indiana,1966,146.3
847,Indiana,1967,162.9
848,Indiana,1968,201.9
849,Indiana,1969,198.1
850,Indiana,1970,234.6
851,Indiana,1971,247.1
852,Indiana,1972,245.1
853,Indiana,1973,257.6
854,Indiana,1974,293.3
855,Indiana,1975,332.8
856,Indiana,1976,315.4
857,Indiana,1977,310.6
858,Indiana,1978,323.5
859,Indiana,1979,338.0
860,Indiana,1980,377.8
861,Indiana,1981,341.6
862,Indiana,1982,300.6
863,Indiana,1983,283.8
864,Indiana,1984,305.2
865,Indiana,1985,309.4
866,Indiana,1986,307.7
867,Indiana,1987,328.5
868,Indiana,1988,380.0
869,Indiana,1989,406.5
870,Indiana,1990,473.9
871,Indiana,1991,505.3
872,Indiana,1992,508.5
873,Indiana,1993,489.1
874,Indiana,1994,525.1
875,Indiana,1995,524.7
876,Indiana,1996,537.0
877,Indiana,1997,514.6
878,Indiana,1998,431.0
879,Indiana,1999,374.6
880,Indiana,2000,349.1
881,Indiana,2001,371.1
882,Indiana,2002,357.3
883,Indiana,2003,352.3
884,Indiana,2004,325.9
885,Indiana,2005,324.0
886,Indiana,2006,321.6
887,Indiana,2007,335.8
888,Indiana,2008,337.6
889,Indiana,2009,334.0
890,Indiana,2010,323.3
891,Indiana,2011,331.8
892,Indiana,2012,345.7
893,Indiana,2013,357.4
894,Indiana,2014,365.3
895,Indiana,2015,387.5
896,Indiana,2016,404.7
897,Indiana,2017,399.0
898,Indiana,2018,382.3
899,Indiana,2019,370.8
2095,Ohio,1960,83.7
2096,Ohio,1961,80.9
2097,Ohio,1962,82.9
2098,Ohio,1963,89.3
2099,Ohio,1964,114.7
2100,Ohio,1965,124.8
2101,Ohio,1966,151.6
2102,Ohio,1967,185.0
2103,Ohio,1968,200.4
2104,Ohio,1969,248.1
2105,Ohio,1970,284.3
2106,Ohio,1971,298.4
2107,Ohio,1972,299.4
2108,Ohio,1973,291.7
2109,Ohio,1974,364.1
2110,Ohio,1975,408.0
2111,Ohio,1976,388.7
2112,Ohio,1977,406.7
2113,Ohio,1978,412.7
2114,Ohio,1979,457.5
2115,Ohio,1980,498.3
2116,Ohio,1981,496.6
2117,Ohio,1982,436.7
2118,Ohio,1983,397.9
2119,Ohio,1984,385.3
2120,Ohio,1985,381.6
2121,Ohio,1986,420.9
2122,Ohio,1987,421.3
2123,Ohio,1988,452.0
2124,Ohio,1989,468.6
2125,Ohio,1990,506.2
2126,Ohio,1991,561.8
2127,Ohio,1992,525.9
2128,Ohio,1993,504.1
2129,Ohio,1994,485.8
2130,Ohio,1995,482.5
2131,Ohio,1996,428.7
2132,Ohio,1997,435.4
2133,Ohio,1998,362.5
2134,Ohio,1999,316.4
2135,Ohio,2000,334.1
2136,Ohio,2001,351.4
2137,Ohio,2002,351.7
2138,Ohio,2003,333.9
2139,Ohio,2004,338.7
2140,Ohio,2005,350.0
2141,Ohio,2006,361.5
2142,Ohio,2007,355.4
2143,Ohio,2008,352.0
2144,Ohio,2009,331.9
2145,Ohio,2010,314.7
2146,Ohio,2011,305.2
2147,Ohio,2012,299.7
2148,Ohio,2013,286.2
2149,Ohio,2014,284.9
2150,Ohio,2015,291.9
2151,Ohio,2016,300.3
2152,Ohio,2017,297.5
2153,Ohio,2018,279.9
2154,Ohio,2019,293.2
